species	tissue	average	stddev
Human	Liver	12.04638937	0.639091964
Human	Liver	11.92646179	0.770073659
Human	Liver	12.19076412	0.717529489
Human	Liver	11.93890765	0.929661818
Human	Liver	11.44143043	0.901246264
Human	Liver	12.55316328	0.706091298
Chimp	Liver	12.30573065	0.784720927
Chimp	Liver	12.36768077	0.822232205
Chimp	Liver	12.1328758	0.713067344
Chimp	Liver	12.44005214	0.762668527
Chimp	Liver	11.57526992	1.021018079
Chimp	Liver	11.97619671	0.944774192
Rhesus	Liver	12.80948295	0.450340729
Rhesus	Liver	12.77857299	0.434621682
Rhesus	Liver	12.49172439	0.493804568
Rhesus	Liver	12.7656745	0.602480619
Rhesus	Liver	12.27985637	0.666523552
Rhesus	Liver	12.99128176	0.445992856
Human	Kidney	13.26145167	0.790173827
Human	Kidney	11.23033362	1.142401894
Human	Kidney	11.47833795	1.042911174
Human	Kidney	11.546859	0.953335815
Human	Kidney	11.90253055	0.859517802
Human	Kidney	11.17461051	1.158427417
Chimp	Kidney	12.6772993	0.883381994
Chimp	Kidney	13.13831201	0.899117811
Chimp	Kidney	11.8389199	0.898434936
Chimp	Kidney	12.09493748	0.864292856
Chimp	Kidney	12.38815699	0.946313385
Chimp	Kidney	12.52259863	1.156649898
Rhesus	Kidney	11.87272917	0.644767563
Rhesus	Kidney	11.77243669	0.630940232
Rhesus	Kidney	11.14914434	0.695733274
Rhesus	Kidney	11.64309199	0.700360703
Rhesus	Kidney	11.78000121	0.690370663
Rhesus	Kidney	12.25063023	0.6900458
Human	Heart	12.4992981	0.689227421
Human	Heart	12.09915507	0.625045656
Human	Heart	12.45407053	1.036077396
Human	Heart	12.94710031	0.70124193
Human	Heart	12.41047505	0.55677042
Human	Heart	12.51803162	0.8706985
Chimp	Heart	13.03821159	0.657045436
Chimp	Heart	12.94548723	0.662668319
Chimp	Heart	12.92775706	0.781470409
Chimp	Heart	12.26307036	0.669569949
Chimp	Heart	12.36827807	0.693638429
Chimp	Heart	12.64915842	0.682227357
Rhesus	Heart	12.71972449	0.803527406
Rhesus	Heart	12.88843967	0.669315761
Rhesus	Heart	12.04870215	1.063501252
Rhesus	Heart	12.32074766	1.061890803
Rhesus	Heart	12.14817545	1.035562171
Rhesus	Heart	12.08446769	0.856992507
